start,end,precip,p5max,p10max,p15max,p30max,p60max,ei,duration,intensity,sm,runoff,rc,farm
8/8/11 0:12,8/8/11 2:45,0.93,2.16,1.68,1.64,1.3,0.83,11.645,2.55,0.36,20.5,0,0,S
8/4/13 3:44,8/4/13 7:17,0.5,1.08,0.92,0.79,0.4,0.24,1.83,3.55,0.14,20.6,0,0,S
9/23/13 12:32,9/23/13 17:09,0.61,0.43,0.38,0.36,0.3,0.24,1.64,4.62,0.13,20.8,0,0,S
8/19/11 14:00,8/20/11 8:40,0.94,0.216,0.216,0.18,0.2,0.135,1.394,18.67,0.05,20.8,0,0,S
8/8/13 22:36,8/9/13 9:13,1.87,2.4,2.34,2.32,2.1,1.34,38.77,10.62,0.18,21,0,0,S
7/23/13 9:13,7/23/13 11:18,0.24,0.43,0.38,0.36,0.3,0.18,0.54,2.08,0.12,21,0,0,S
8/15/11 8:44,8/15/11 9:04,0.11,0.864,0.486,0.396,0.2,-9,-9,0.33,0.32,21.4,0,0,S
5/31/12 1:32,5/31/12 6:04,0.32,0.32,0.27,0.29,0.3,0.19,0.66,4.53,0.07,21.5,0,0,S
6/3/12 21:00,6/4/12 6:11,0.38,0.32,0.27,0.25,0.2,0.14,0.51,9.18,0.04,21.5,0,0,S
7/28/13 17:09,7/28/13 18:58,0.1,0.32,0.22,0.22,0.1,0.09,0.12,1.82,0.05,21.5,0,0,S
7/27/11 18:08,7/27/11 20:00,0.28,0.984,0.708,0.508,0.3,0.154,0.627,1.87,0.15,21.8,0,0,S
9/5/12 8:46,9/5/12 23:18,0.56,0.216,0.162,0.144,0.1,0.108,0.582,14.53,0.04,22,0,0,S
6/1/12 3:27,6/1/12 5:34,0.13,0.76,0.43,0.32,0.2,0.1,0.19,2.12,0.06,22.1,0,0,S
7/16/13 1:40,7/16/13 3:31,0.17,0.22,0.16,0.14,0.1,0.11,0.18,1.85,0.09,22.1,0,0,S
6/6/12 5:39,6/6/12 10:07,0.78,2.064,1.248,0.94,0.6,0.451,3.918,4.47,0.17,22.2,0,0,S
10/6/12 16:52,10/7/12 2:33,0.24,0.22,0.16,0.14,0.1,0.07,0.22,9.68,0.03,22.4,0,0,S
9/12/12 17:26,9/12/12 19:02,0.36,0.864,0.594,0.504,0.5,0.315,1.381,1.6,0.23,22.6,0,0,S
7/4/11 19:47,7/4/11 23:36,0.17,0.42,0.264,0.212,0.1,0.089,0.209,3.82,0.04,22.6,0,0,S
7/17/11 9:07,7/17/11 10:53,0.11,0.216,0.162,0.108,0.1,0.072,0.064,1.77,0.06,22.6,0,0,S
10/8/12 13:56,10/9/12 1:13,0.68,0.32,0.27,0.22,0.2,0.18,1.21,11.28,0.06,22.9,0,0,S
7/6/11 17:07,7/6/11 18:39,0.55,1.692,1.338,1,0.6,0.303,3.149,1.53,0.36,23.1,0,0,S
9/14/12 5:16,9/14/12 14:04,0.59,0.324,0.27,0.216,0.2,0.153,0.885,8.8,0.07,23.3,0,0,S
7/12/13 0:41,7/12/13 3:23,0.12,0.43,0.27,0.18,0.2,0.11,0.16,2.7,0.04,23.3,0,0,S
